platform_shop_id,year_month,review_id,rating,sentiment_score,mismatch_type,content
ba_10019807,2025-09,ba_2025090602444608,4.0,-0.2,high_rating_negative_text,"음식은 늘 잘먹고 있으니 문제없어요 추가로 구매한 소스 포함 기본 제공 소스들이 모두 누락한채로 음식만 받았고 어떤상황인지 모르니 매장으로 문의를 했는데 응대가 많이 아쉽네요
라이더가 놓치고 간걸 매장이 알고있으면서 이렇게 된 상황이니 배민으로 요청해야 재배달로 받을수 있다 정도만 안내해주셨어도 될건데, 말씀하신 공지가 어디있는진 모르겠지만 공지도 올려놨고, 기사님이 안가져가신걸 어쩌란식이냐는 응대는 좀 아닌거같아요 응대부분은"
ba_10020109,2025-09,ba_2025090302363513,4.0,-0.2,high_rating_negative_text,갈비천왕 먹을까 고민하다 양념은 안먹어서 한번 시켰는데..양념도 적고 튀김옷도 벗겨지고..이상했어요
ba_10022124,2025-08,ba_2025080702750000,5.0,-0.4,high_rating_negative_text,"사장님,,,저 감자튀김 시킨 적 없는데 잘못 왔다고 전화한 손님인데용,, 감자튀김 그냥 먹으라고 하셔서 감사합니다..!!! 근데 떡사리도 추가한 적 없는데 들어가있어요..! 저는 너무 감사한데ㅠㅠ 다른 분한테 가야할게 저한테 잘못온건지.... •_•.. 
아무튼 맛은 너무 너무 있습니다 ! 
감사합니다❤️"
ba_10022124,2025-08,ba_2025090102594126,4.0,-0.4,high_rating_negative_text,"바게트는 기본제공이 아닌건가요?바게트가 없네요.
그리고 소스가 마블링이 아닌 요블링으로 잘못 왔습니다."
ba_10040420,2025-08,ba_2025080402078850,4.0,-0.6,high_rating_negative_text,"배달이 아쉬웠습니다.

도착 알림이나 문자도 없다보니
포장지는 눅눅해지고
식었다보니 기대했던 맛보다 
살짝 아쉬웠네요.

사장님의 응대도요.
알아보고 연락주신다더니
그대로 감감무소식.."
ba_10040420,2025-08,ba_2025082002598488,5.0,-0.2,high_rating_negative_text,"장각구이는 너~~~~~무 짜요;,;,,"
ba_10040590,2025-09,ba_2025092402829815,1.0,0.6,low_rating_positive_text,"일주일에 한번은 주문해서 먹는듯한데
오늘은 많이 바쁘셨나봐요 ㅠㅠ
오버쿡이 된건지 오븐에 오래두셨나봐요
바삭바삭 과자였네요ㅠㅠ
담번엔 괜찮았으면 좋겠어요"
ba_10040590,2025-08,ba_2025082202176438,4.0,-0.6,high_rating_negative_text,타서왓어요 ㅠㅠ 고추바사삭 자주시켜먹는데 이런적은 처음이에요..ㅠㅠ 환불하려다 먹기시작해서 그냥 먹었어요~ 앞으로는 더 신경써주셨으면 좋겠네요
ba_10040685,2025-08,ba_2025080900105918,1.0,0.2,low_rating_positive_text,"상했어요
닭 먹는데..신맛나요.
퇴근 하셔서 그런지 전화 안받으시네요.
싹다 버릴께요..

사과 전화라도 올거라 생각했는데.. 
작은돈은 아니지만 덕분에 가게하나 거르네요 번창하세요"
ba_10040685,2025-09,ba_2025091600136766,5.0,-0.2,high_rating_negative_text,장각구이.... 향신료 냄새가 강해서 호불호가 강할거 같아요. ...향신료 좋아하는 분은 강추.. 전 힘드네요. 고추바사삭 포에버..ㅜㅜ
ba_10040685,2025-09,ba_2025091600136766,5.0,-0.2,high_rating_negative_text,장각구이.... 향신료 냄새가 강해서 호불호가 강할거 같아요. ...향신료 좋아하는 분은 강추.. 전 힘드네요. 고추바사삭 포에버..ㅜㅜ
ba_10401021,2025-08,ba_2025080302512131,4.0,-0.2,high_rating_negative_text,평소보다 하얗고 물컹거려서 에어프라이기로 더 구웠습니다 피자도 미지근하고 하애서..아쉬웠어여
ba_10401021,2025-08,ba_2025081002458992,4.0,-0.4,high_rating_negative_text,소스 선택사항이 잘못왔네요. 닭다리 안에도 좀 덜 익은게 있었습니다.
ba_10401021,2025-09,ba_2025091702637323,5.0,-0.4,high_rating_negative_text,퇴근이 좀 늦어져서 배달보다 늦게 도착했는데도 다 먹을 때까지 바삭바삭 천국이었어요... 남은 거 지금 또 먹는데 너무 행복하네요... 게다가 고블링 소스는 정말 신이 내린 소스
ba_10432360,2025-07,ba_2025072702550186,4.0,-1.0,high_rating_negative_text,"보통 리뷰 안좋게 안남기는편인데
너무 늦게 오네요 예상시간도 넉넉히 잡으신거같지만
그거보다 더 늦게왔어요 많이 아쉽습니다"
ba_10497667,2025-07,ba_2025072702271280,4.0,-0.2,high_rating_negative_text,굽네 자주시켜먹는데 점바점 차이인지 모르겠으나 여긴 갈비가 너무 타서 아쉬웠습니다. 그리고 보통 갈비천왕 피자에 갈릭소스 기본으로 하나 주시는데 항상 양이 모자랐어서 추가했습니다. 다시 봐도 하나만 왔네요.
ba_10497667,2025-08,ba_2025080903050953,5.0,-0.2,high_rating_negative_text,"말복이라 바쁘셨는지 오늘은 치킨이 바삭하지않고 기름이 덜 빠져서(기름이 반질반질 축축) 튀김옷이 박스에 붙어서 떨어지기도하고  조금 눅눅하네요..ㅠ
콜라245ml도 한마리주문시 무료제공이라 써있는데 안주셨어요..ㅠ"
ba_10497667,2025-09,ba_2025090302938175,1.0,0.6,low_rating_positive_text,치킨 탄맛이 너무 강함. 맛 너무 없음. 소스 맛으로 먹은듯하네요
ba_10501929,2025-07,ba_2025073100511105,1.0,0.4,low_rating_positive_text,"치즈 굳고 난 바게트빵 안 옴 운 좋으면 받을 수 있는 듯
그리고 왜케 눅눅한지 밖에 비온 줄 알았어요;; 다른 리뷰 보니 하나같이 포장지 젖었다는 얘기 밖에 없네요
개인적인 맛으로도 그닥 추천 못하는 맛 육즙만 많은 양념 1도 없는 닭다리 
그나마 있는 양념 별로 진하지도 않고 같이 온 소스도 닭다리랑 1도 안 어울림 살사소스랑 요거링 뭐시기인데 둘다 특색없이 시고 조화롭지도 않음
맛만 따지면 1점인데 가격도 비싸니 안 먹는"
ba_10509105,2025-09,ba_2025091202654193,5.0,-0.6,high_rating_negative_text,사장님! 매운소스가 누락 됐습니다. 기본 소스만 왔네요. ㅠㅠ
ba_10580903,2025-07,ba_2025072502689614,5.0,-0.2,high_rating_negative_text,"요청사항 잘 챙겨 보내 주셔서 너무 감사합니다~
오리지널은 괜찮은데요~
장작구이를 추가로 시켰는데..
저는 소스가 살짝 뭍처서 오는줄 몰랐네요..ㅜㅜ
소스 안 한건 줄 알았는데..좀 아쉽네요..
소스는 제 취향이 아니라서....
조금 아쉽습니다.."
ba_10580903,2025-08,ba_2025083101863782,4.0,-0.2,high_rating_negative_text,광고 봣던거 생각나서 주문햇는데 다리4개라 양이 좀적을까 싶엇지만 생각보다 다리가 크고 양도 적지 안네요 껍질이 특히 맛잇는^^
ba_10580903,2025-09,ba_2025091402712133,4.0,-0.2,high_rating_negative_text,담백하고 양도 적당허니 게안네요^^
ba_10580903,2025-09,ba_2025091601008401,5.0,-0.2,high_rating_negative_text,믿고먹는고추바사사사삭 따봉드립니다 짜스
ba_10580903,2025-09,ba_2025091601008401,5.0,-0.2,high_rating_negative_text,믿고먹는고추바사사사삭 따봉드립니다 짜스
ba_10583009,2025-07,ba_2025073003122024,5.0,-0.2,high_rating_negative_text,차가워용 아쉽네요
ba_10583009,2025-08,ba_2025082400101656,2.0,0.2,low_rating_positive_text,맛은 있었는데 먹다가 머리카락이 나왔네요ㅠㅠ
ba_10583009,2025-09,ba_2025090102524278,5.0,-0.2,high_rating_negative_text,감자양 진짜 많아요ㅜㅜ 행볻사했습니다 또 시켜먹을게요
ba_10583009,2025-09,ba_2025090500338577,5.0,-0.2,high_rating_negative_text,"늦게까지 고생해 주셔서 감사합니다.
너무너무 맛잇게 먹엇어요ㅠㅡㅠ!!"
ba_10597203,2025-07,ba_2025073001341784,4.0,-0.6,high_rating_negative_text,"맛은 있는데 양념이 골고루 안 묻혀있어 아쉬워요 ㅜㅜ 그리고 리뷰이벤트로 치즈볼 받았는데 닭 튀긴 기름에 하셨나 ,, 냄새나서 버렸네요 .."
ba_10597203,2025-08,ba_2025080302730455,1.0,1.0,low_rating_positive_text,(먹기 전)맛있게 잘 먹겠습니다.  (먹는 중)감사한 마음으로 먹는데… 조각 치킨 느낌이 너무 드네요… 이거 한마리 맞나요?ㅠㅠ 잘 모르겠지만 첨 경험해본 치킨입니다.
ba_10604883,2025-08,ba_2025082303056839,5.0,-0.2,high_rating_negative_text,냄새에끌려 사진을깜빡햇네요... 너무너무맛잇어요!!
ba_10605803,2025-09,ba_2025090502336936,5.0,-0.2,high_rating_negative_text,"치킨 미지근 맥주 미지근
한집배달 시키면서 배민에서 
이런적 처음이네요
별은 5개 드립니다
각박한세상 파이팅!"
ba_10605803,2025-09,ba_2025092302746893,4.0,-0.4,high_rating_negative_text,고추바사삭은 맛있는데 케이준감자가 오래된건지 포장지 냄새가 감자에 밴건지 뭔지 모르겠는데 먹을때마다 굉장히 역한냄새가 나서 한두개먹고 다 버렷네용..감자가 아쉽습니당
ba_10605803,2025-08,ba_2025081902882071,1.0,0.2,low_rating_positive_text,바삭하지 않고 너무 눅눅해요..
ba_10636817,2025-09,ba_2025092601399499,5.0,-0.2,high_rating_negative_text,소스가 잘못 왔지만 그래두 치킨은 맛나요 ~ !!
ba_10657170,2025-09,ba_2025092400005240,5.0,-0.2,high_rating_negative_text,"받자마자 한입 딱 먹었는데 좀 짜네요ㅎ
맵기는 딱히 매운지 모르겠어요~

좀 먹다보니 염지가 되어있는 닭에 양념을 입히면서 더 짠거같네요ㅎ 

이점 개선하면 잘 나가겠어요~

참고로 저는 매운걸 잘먹어서 매운게 별로 안 느껴지는 것 같습니다."
